42889.98,Seria 4,sedan,2020,Diesel,21011
29899.94,Seria 4,sedan,2019,Diesel,32280
0,Seria 5,sedan,2004,Diesel,330000
18900,Seria 5,sedan,2015,Diesel,187000
9800,Seria 3,sedan,2014,Diesel,182000
12800,Seria 3,sedan,2014,Diesel,194500
9400,Seria 5,sedan,2011,Diesel,261500
8300,Seria 5,sedan,2011,Diesel,290000
58389.73,Seria 3,sedan,2020,Diesel,2387
33000,Seria 7,sedan,2018,Diesel,247000
6790,Seria 5,sedan,2009,Diesel,277000
7950,Seria 5,sedan,2010,Diesel,260000
45399.69,Seria 3,sedan,2020,Diesel,5590
3500,Seria 5,sedan,2005,Diesel,358494
5700,Seria 3,sedan,2008,Diesel,260
28900.34,Seria 3,sedan,2017,Diesel,85794
32389.42,Seria 5,sedan,2018,Diesel,107316
25500,Seria 4,sedan,2017,Diesel,116000
12350,Seria 5,sedan,2012,Diesel,323
15850,Seria 3,sedan,2013,Diesel,227171
9990,Seria 5,sedan,2009,Diesel,234000
5250,Seria 3,sedan,2008,Diesel,288000
15999,Seria 5,sedan,2014,Diesel,255000
13499,Seria 3,sedan,2014,Diesel,260000
45999,Seria 7,sedan,2017,Diesel,82000
3000,Seria 5,sedan,2005,Diesel,370000
13900,Seria 7,sedan,2011,Diesel,280000
2950,Seria 3,sedan,2010,Diesel,141000
8650,Seria 3,sedan,2010,Diesel
4799,Seria 3,sedan,2008,Diesel,200000
22015,Seria 7,sedan,2013,Diesel,269000
35902.3,Seria 5,sedan,2018,Diesel,146500
7400,Seria 5,sedan,2012,Diesel
17999,Seria 7,sedan,2012,Diesel,236019
7590,Seria 3,sedan,2010,Diesel,191600
32550,Seria 3,sedan,2019,Diesel,106000
12290,Seria 3,sedan,2013,Diesel,225000
13990,Seria 5,sedan,2012,Diesel,173600
7499,Seria 3,sedan,2011,Diesel,217000
12150,Seria 5,sedan,2012,Diesel,283000
5500,Seria 3,sedan,2013,Diesel,134000
7299,Seria 3,sedan,2008,Diesel,270000
13750,Seria 3,sedan,2012,Diesel,189233
22500,Seria 5,sedan,2015,Diesel,196019
2100,Seria 3,sedan,2001,Diesel,236000
9999,Seria 5,sedan,2011,Diesel,275399
6200,Seria 5,sedan,2007,Diesel,260000
13950,Seria 5,sedan,2013,Diesel,276000
3900,Seria 5,sedan,2001,Diesel,250000
13550,Seria 5,sedan,2013,Diesel,235000
14900,Seria 5,sedan,2013,Diesel,283000
450,Seria 3,sedan,2000,Diesel,280000
5150,Seria 3,sedan,2007,Diesel,252000
20500,Seria 5,sedan,2015,Diesel,249000
42828.1,Seria 5,sedan,2017,Diesel,145710
27500,Seria 6,sedan,2016,Diesel,94000
39850,Seria 5,sedan,2017,Diesel,84758
14500,Seria 3,sedan,2014,Diesel,268500
12900,Seria 5,sedan,2012,Diesel,210500
24900,Seria 5,sedan,2016,Diesel,165550
36900,Seria 5,sedan,2018,Diesel,85046
7850,Seria 3,sedan,2008,Diesel,270845
7600,Seria 3,sedan,2009,Diesel,260000
12750,Seria 5,sedan,2011,Diesel,227469
12999,Seria 5,sedan,2013,Diesel,231000
7000,Seria 3,sedan,2010,Diesel,210000
11900,Seria 3,sedan,2013,Diesel,224000
100000,Seria 5,sedan,2007,Diesel
5850,Seria 5,sedan,Diesel,241000
17500,Seria 7,sedan,2013,Diesel,278400
24750,Seria 5,sedan,2016,Diesel,129000
31900,Seria 5,sedan,2017,Diesel,210000
5450,Seria 3,sedan,2006,Diesel,246789
13300,Seria 3,sedan,2015,Diesel,234158
1500,Seria 3,sedan,2001,Diesel,349000
44590,Seria 5,sedan,2017,Diesel,95000
19450,Seria 4,sedan,2017,Diesel,183000
37500,Seria 7,sedan,2016,Diesel,140000
16900,Seria 5,sedan,2012,Diesel,155000
41980,Seria 7,sedan,2016,Diesel,106000
13250,Seria 5,sedan,2014,Diesel,198000
7000,Seria 3,sedan,2010,Diesel,315000
13250,Seria 5,sedan,2014,Diesel,198000
10550,Seria 3,sedan,2015,Diesel,240000
13499,Seria 3,sedan,2014,Diesel,260000
20000,Seria 7,sedan,2012,Diesel,300000
6499,Seria 5,sedan,2008,Diesel,306000
9850,Seria 3,sedan,2012,Diesel,234000
4999,Seria 3,sedan,2006,Diesel
6500,Seria 5,sedan,2010,Diesel,184000
46000,Seria 7,sedan,2017,Diesel,115000
0,Seria 5,sedan,2000,Diesel
7200,Seria 3,sedan,2011,Diesel,300000
6300,Seria 3,sedan,2008,Diesel
12500,Seria 5,sedan,2011,Diesel,224000
25000,Seria 7,sedan,2012,Diesel,292000
8299,Seria 5,sedan,2008,Diesel,284000
14000,Seria 3,sedan,2015,Diesel,225300
25700,Seria 5,sedan,2018,Diesel,230
39900,Seria 7,sedan,2016,Diesel,154000
6300,Seria 3,sedan,2008,Diesel
3500,Seria 3,sedan,2006,Diesel
4000,Seria 3,sedan,2006,Diesel
6450,Seria 3,sedan,2009,Diesel,255000
9200,Seria 3,sedan,2012,Diesel,289000
3900,Seria 5,sedan,2005,Diesel,340538
23800,Seria 5,sedan,2018,Diesel,191000
30700,Seria 5,sedan,2017,Diesel,187000
67000,Seria 7,sedan,2020,Diesel,96000
22900,Seria 7,sedan,2014,Diesel,238000
21500,Seria 6,sedan,2013,Diesel,258000
16990,Seria 5,sedan,2014,Diesel,329000
15500,Seria 3,sedan,2017,Diesel,230752
28000,Seria 5,sedan,2018,Diesel,180000
5950,Seria 5,sedan,2006,Diesel,270000
10800,Seria 3,sedan,2013,Diesel,274000
11000,Seria 5,sedan,2012,Diesel,380000
20000,X1,sedan,2017,Diesel,164000
22900,Seria 7,sedan,2014,Diesel,238000
88888.24,Seria 7,sedan,2022,Diesel,3999
81880.33,Seria 7,sedan,2021,Diesel,27324
72388.89,Seria 7,sedan,2021,Diesel,28139
13400,Seria 3,sedan,2013,Diesel,196000
19300,Seria 7,sedan,2013,Diesel,224000
15490,Seria 4,sedan,2015,Diesel,188000
7700,Seria 3,sedan,2010,Diesel,244000
5250,Seria 3,sedan,2008,Diesel,288000
2250,Seria 7,sedan,2005,Diesel,250000
14990,Seria 5,sedan,2013,Diesel,199000
23450,Seria 5,sedan,2013,Diesel,99000
6800,Seria 5,sedan,2008,Diesel,218300
12500,Seria 5,sedan,2010,Diesel,222000
5990,Seria 5,sedan,2005,Diesel,208000
13300,Seria 3,sedan,2016,Diesel,216500
14900,Seria 7,sedan,2011,Diesel,270000
35000,Seria 7,sedan,2016,Diesel
7400,Seria 5,sedan,2012,Diesel
15980,Seria 4,sedan,2016,Diesel,199642
27149.85,Seria 3,sedan,2019,Diesel,69300
0,Seria 7,sedan,2004,Diesel,470000
12000,Seria 3,sedan,2002,Diesel,229090
11690,Seria 3,sedan,2014,Diesel,180000
7889.7,Seria 3,sedan,2008,Diesel,228602
4200,Seria 3,sedan,2005,Diesel,228000
5500,Seria 5,sedan,2005,Diesel,220000
4499,Seria 3,sedan,2005,Diesel,238000
21900,Seria 6,sedan,2012,Diesel,249000
3300,Seria 5,sedan,2005,Diesel,270000
46000,Seria 7,sedan,2017,Diesel,115000
18990,Seria 5,sedan,2015,Diesel,177466
15750,Seria 5,sedan,2014,Diesel,158000
17900,Seria 5,sedan,2016,Diesel,163000
6950,Seria 3,sedan,2009,Diesel,254400
17490,Seria 4,sedan,2018,Diesel,223000
4999,Seria 5,sedan,2007,Diesel,212000
2999,Seria 3,sedan,2004,Diesel,227000
11000,Seria 5,sedan,2012,Diesel,299000
14990,Seria 3,sedan,2013,Diesel,214000
12890,Seria 5,sedan,2011,Diesel,198755
9500,Seria 5,sedan,2010,Diesel,178000
7200,Seria 3,sedan,2010,Diesel
16990,Seria 5,sedan,2014,Diesel,329000
15000,Seria 5,sedan,2015,Diesel,180024
79900.17,Seria 5,sedan,2021,Diesel,17000
8299,Seria 3,sedan,2014,Diesel,290000
3750,X5,sedan,2003,Diesel,236141
14500,Seria 5,sedan,2012,Diesel,167000
